Key	UK English	French	Arabic		
home.family.register.desc	Provide your family names and details including name, address, date of birth, and certified copy of passport. Tell us your usual destinations.	Fournissez les noms et informations de votre famille, y compris lâ€™adresse, la date de naissance et une copie certifiÃ©e du passeport. Indiquez-nous vos destinations habituelles.	Ù‚Ø¯Ù‘Ù… Ø£Ø³Ù…Ø§Ø¡ Ø£ÙØ±Ø§Ø¯ Ø¹Ø§Ø¦Ù„ØªÙƒ ÙˆØ¨ÙŠØ§Ù†Ø§ØªÙ‡Ù…ØŒ Ø¨Ù…Ø§ ÙÙŠ Ø°Ù„Ùƒ Ø§Ù„Ø§Ø³Ù…ØŒ Ø§Ù„Ø¹Ù†ÙˆØ§Ù†ØŒ ØªØ§Ø±ÙŠØ® Ø§Ù„Ù…ÙŠÙ„Ø§Ø¯ØŒ ÙˆÙ†Ø³Ø®Ø© Ù…ØµØ¯Ù‘Ù‚Ø© Ù…Ù† Ø¬ÙˆØ§Ø² Ø§Ù„Ø³ÙØ±ØŒ ÙˆØ§Ø°ÙƒØ± ÙˆØ¬Ù‡Ø§ØªÙƒÙ… Ø§Ù„Ù…Ø¹ØªØ§Ø¯Ø©.		
home.individual.membership.title	Individual Membership	Abonnement individuel	Ø§Ù„Ø¹Ø¶ÙˆÙŠØ© Ø§Ù„ÙØ±Ø¯ÙŠØ©		
home.individual.register.title	1. Register	1. Inscription	1. Ø§Ù„ØªØ³Ø¬ÙŠÙ„		
home.individual.register.desc	Register yourself and select either a subscription plan or pay-as-you-go membership for on-demand ticket access and services.	Inscrivez-vous et choisissez soit un plan dâ€™abonnement, soit une formule Ã  la demande pour accÃ©der aux billets et services selon vos besoins.	Ø³Ø¬Ù‘Ù„ Ø¨ÙŠØ§Ù†Ø§ØªÙƒ ÙˆØ§Ø®ØªØ± Ø¥Ù…Ø§ Ø®Ø·Ø© Ø§Ø´ØªØ±Ø§Ùƒ Ø£Ùˆ Ø¹Ø¶ÙˆÙŠØ© Ø¨Ù†Ø¸Ø§Ù… Ø§Ù„Ø¯ÙØ¹ Ø­Ø³Ø¨ Ø§Ù„Ø§Ø³ØªØ®Ø¯Ø§Ù… Ù„Ù„ÙˆØµÙˆÙ„ Ø¥Ù„Ù‰ Ø§Ù„ØªØ°Ø§ÙƒØ± ÙˆØ§Ù„Ø®Ø¯Ù…Ø§Øª Ø¹Ù†Ø¯ Ø§Ù„Ø·Ù„Ø¨.		
home.individual.book.title	2. Book your flights	2. RÃ©servez vos vols	2. Ø§Ø­Ø¬Ø² Ø±Ø­Ù„Ø§ØªÙƒ		
home.individual.book.desc	Provide details including name, address, date of birth, and certified copy of passport, and tell us your usual destinations.	Fournissez vos informations personnelles, y compris votre nom, adresse, date de naissance et une copie certifiÃ©e du passeport, puis indiquez vos destinations habituelles.	Ù‚Ø¯Ù‘Ù… Ø¨ÙŠØ§Ù†Ø§ØªÙƒ Ø§Ù„Ø´Ø®ØµÙŠØ©ØŒ Ø¨Ù…Ø§ ÙÙŠ Ø°Ù„Ùƒ Ø§Ù„Ø§Ø³Ù…ØŒ Ø§Ù„Ø¹Ù†ÙˆØ§Ù†ØŒ ØªØ§Ø±ÙŠØ® Ø§Ù„Ù…ÙŠÙ„Ø§Ø¯ØŒ ÙˆÙ†Ø³Ø®Ø© Ù…ØµØ¯Ù‘Ù‚Ø© Ù…Ù† Ø¬ÙˆØ§Ø² Ø§Ù„Ø³ÙØ±ØŒ ÙˆØ§Ø°ÙƒØ± ÙˆØ¬Ù‡Ø§ØªÙƒ Ø§Ù„Ù…Ø¹ØªØ§Ø¯Ø©.		
home.exclusive.membership.title	Exclusive Membership Card	Carte de membre exclusive	Ø¨Ø·Ø§Ù‚Ø© Ø¹Ø¶ÙˆÙŠØ© Ø­ØµØ±ÙŠØ©		
home.exclusive.card.free.title	1. Free Membership Card	1. Carte de membre gratuite	1. Ø¨Ø·Ø§Ù‚Ø© Ø¹Ø¶ÙˆÙŠØ© Ù…Ø¬Ø§Ù†ÙŠØ©		
home.exclusive.card.free.desc	Every member will be issued a black membership card that can be used for lounges, check-in privileges with our partners such as car hire, concierge limousines, and restaurants.	Chaque membre recevra une carte noire exclusive qui pourra Ãªtre utilisÃ©e pour accÃ©der aux salons, bÃ©nÃ©ficier de privilÃ¨ges dâ€™enregistrement et dâ€™avantages auprÃ¨s de nos partenaires tels que la location de voitures, les services de conciergerie et les restaurants.	Ø³ÙŠØ­ØµÙ„ ÙƒÙ„ Ø¹Ø¶Ùˆ Ø¹Ù„Ù‰ Ø¨Ø·Ø§Ù‚Ø© Ø¹Ø¶ÙˆÙŠØ© Ø³ÙˆØ¯Ø§Ø¡ Ø­ØµØ±ÙŠØ© ØªÙØ³ØªØ®Ø¯Ù… Ù„Ù„Ø¯Ø®ÙˆÙ„ Ø¥Ù„Ù‰ Ø§Ù„ØµØ§Ù„Ø§ØªØŒ ÙˆØ§Ù„Ø§Ø³ØªÙØ§Ø¯Ø© Ù…Ù† Ø§Ù…ØªÙŠØ§Ø²Ø§Øª ØªØ³Ø¬ÙŠÙ„ Ø§Ù„ÙˆØµÙˆÙ„ ÙˆØ®Ø¯Ù…Ø§Øª Ø´Ø±ÙƒØ§Ø¦Ù†Ø§ Ù…Ø«Ù„ ØªØ£Ø¬ÙŠØ± Ø§Ù„Ø³ÙŠØ§Ø±Ø§ØªØŒ ÙˆØ®Ø¯Ù…Ø§Øª Ø§Ù„Ù„ÙŠÙ…ÙˆØ²ÙŠÙ†ØŒ ÙˆØ§Ù„Ù…Ø·Ø§Ø¹Ù….		
home.exclusive.availability.title	2. Availability	2. DisponibilitÃ©	2. Ø§Ù„ØªÙˆÙØ±		
home.exclusive.availability.desc	Offering exclusive membership options for both corporations and individuals.	Propose des options dâ€™abonnement exclusives pour les entreprises comme pour les particuliers.	Ù†Ù‚Ø¯Ù‘Ù… Ø®ÙŠØ§Ø±Ø§Øª Ø¹Ø¶ÙˆÙŠØ© Ø­ØµØ±ÙŠØ© Ù„ÙƒÙ„Ù‘Ù Ù…Ù† Ø§Ù„Ø´Ø±ÙƒØ§Øª ÙˆØ§Ù„Ø£ÙØ±Ø§Ø¯.		
home.pets.title	EclipsoAir is Pet Friendly	EclipsoAir accepte les animaux de compagnie	EclipsoAir ØªØ±Ø­Ø¨ Ø¨Ø§ØµØ·Ø­Ø§Ø¨ Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§Øª Ø§Ù„Ø£Ù„ÙŠÙØ©		
home.pets.subtitle	To travel you must make sure that your documentation is correct. Interisland is a little different to a non-UK entity incoming flight. YOU must make sure for all flights that you have:	Pour voyager, vous devez vous assurer que vos documents sont en rÃ¨gle. Les vols inter-Ã®les diffÃ¨rent lÃ©gÃ¨rement des vols entrants depuis un pays hors du Royaume-Uni. Vous devez vÃ©rifier pour chaque vol que vous disposez de :	Ù„Ù„Ø³ÙØ±ØŒ ÙŠØ¬Ø¨ Ø§Ù„ØªØ£ÙƒØ¯ Ù…Ù† Ø£Ù† ÙˆØ«Ø§Ø¦Ù‚ÙƒÙ… Ø³Ù„ÙŠÙ…Ø©. ØªØ®ØªÙ„Ù Ø§Ù„Ø±Ø­Ù„Ø§Øª Ø¨ÙŠÙ† Ø§Ù„Ø¬Ø²Ø± Ù‚Ù„ÙŠÙ„Ù‹Ø§ Ø¹Ù† Ø§Ù„Ø±Ø­Ù„Ø§Øª Ø§Ù„Ù‚Ø§Ø¯Ù…Ø© Ù…Ù† Ø®Ø§Ø±Ø¬ Ø§Ù„Ù…Ù…Ù„ÙƒØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©. ÙˆÙŠØ¬Ø¨ Ø¹Ù„ÙŠÙƒÙ… Ø§Ù„ØªØ£ÙƒØ¯ Ù„ÙƒÙ„ Ø±Ø­Ù„Ø© Ù…Ù† ØªÙˆÙØ± Ù…Ø§ ÙŠÙ„ÙŠ:		
home.pets.rule.passport	An up-to-date GB or EU passport and that all vaccinations are up to date and the animal is chipped.	Un passeport britannique ou europÃ©en Ã  jour, toutes les vaccinations Ã  jour et lâ€™animal doit Ãªtre pucÃ©.	Ø¬ÙˆØ§Ø² Ø³ÙØ± Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠ Ø£Ùˆ Ø£ÙˆØ±ÙˆØ¨ÙŠ Ø³Ø§Ø±ÙŠ Ø§Ù„Ù…ÙØ¹ÙˆÙ„ØŒ Ù…Ø¹ ØªØ­Ø¯ÙŠØ« Ø¬Ù…ÙŠØ¹ Ø§Ù„ØªØ·Ø¹ÙŠÙ…Ø§ØªØŒ ÙˆØ£Ù† ÙŠÙƒÙˆÙ† Ø§Ù„Ø­ÙŠÙˆØ§Ù† Ù…Ø²ÙˆÙ‘Ø¯Ù‹Ø§ Ø¨Ø´Ø±ÙŠØ­Ø© ØªØ¹Ø±ÙŠÙ.		
